"shop_name","product_name","shelf_price","image_url"
"Lidl","Favorina Riešutai","3.49","https://imgproxy-retcat.assets.schwarz/XDUeVnPNm8nGkooyQKkfwf6NQUv3w1LGckFv_vQBDNg/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzMzNERDQjg4OEU3QTJBQjFEODUyQjgwQT/Q5OEMxQkU0N0I4MUM5MzlFRUEzQTJDNTFFQzgzMUZGNjk5MjUzODUucG5n.png"
"Lidl","Favorina Zefyrai","1.69","https://imgproxy-retcat.assets.schwarz/klZHl1mjc9UGlr80SPYF6f35D57oKGYioqBUremOCVg/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzExRjM1NzlDNDg5NjhBODFFMjVERkY5Mk/Y4MUJCMzNCM0VBN0MwREJCNTY5RTk5MkMxQ0E4MThENTFEMzlBRTcucG5n.png"
"Lidl","Favorina Zefyrai „Žvaigždės“","1.69","https://imgproxy-retcat.assets.schwarz/zf9FwOELAEXT0s0-7Q7u_cYxtL7t5hJkahh-XqnH0l8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzUzOEE4NzU1QzU4NzUxM0JBQ0RFQUI4Nj/E3RUM3RDg3MUNEMkUzQUMyQzYwMzc0OTVBNUM0RjA1RUIwMjU2RTAucG5n.png"
"Lidl","Favorina Sausainių skonio kremas „Spekulatius“","2.29","https://imgproxy-retcat.assets.schwarz/ObaTr5M7R2uAuDG5TIXzFfAq760T068JZZSSa1wVTGk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzRDRDM0ODkyMzcxRDNDQjlCNERGMjEzMU/Q2MUJGOENFRTYxQzFBMzAwRDdEOEMzOEM0Q0RFRTcwQkM5NTBENTAucG5n.png"
"Lidl","Favorina Pieninio šokolado rutuliukai","3.49","https://imgproxy-retcat.assets.schwarz/Eo3KTJNwVGrVfLGJ_BgnV9cKnv_Tf0YudSl3qSzYeRc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzI1QjhERTZGNjczNURCQzZGMzRBQkYyRD/hBRjc1NEI2RTE1RTZGMzdFOUM4RThGRTA5OEUxQzZBQUQ5QUQ5MTAucG5n.png"
"Lidl","Favorina Advento kalendorius","1.99","https://imgproxy-retcat.assets.schwarz/rM71ybKUnJ-RAnWuQcxdHFmomhx_-NPSHzHF79RaaNU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzlDMjM0ODY5OTVCODIyMDQwODI4NTRCN0/FGRTg0OTNEMUJDMjYwREJCNjZEMzc0NDcwRUNGMjY1OTIwQzE5Q0UucG5n.png"
"Lidl","Favorina „Pasidaryk pats“ sausainių rinkinys","9.99","https://imgproxy-retcat.assets.schwarz/cbrX6NJ-LyixWyNisYaDlQ6egNQsgStXiIoFmVJwWmk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzJGNzI0MEREQzVFQTgwQzExNkEzNjVCNE/JGODVBOTY5QjY2OUUxNkY3NkMxMEI2RUM5QTU1REY0QTkxM0JBMDAucG5n.png"
"Lidl","Favorina Guminukų ir zefyrų rinkinys","5.99","https://imgproxy-retcat.assets.schwarz/0nUQoQC8wlmM7noS1IfEd-uMr_vRDY1NTPu0t3tpvkE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzZEMjg3MjAyRTkxM0EzMTk4N0UwODkwMT/YxRTBDNEEwMjU0MTc0OUVGQkZFMjRFNjVCNjYxQ0NERDc1QzQzODUucG5n.png"
"Lidl","Favorina Kalėdinės šokoladinės figūrėlės","2.29","https://imgproxy-retcat.assets.schwarz/hi6SVsSzbVHd1oIYMS0tEtlPvgyu9gC_sgSwTlsS4Ko/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzYzQ0E5M0RFRTk1RTM2REQ4OUFERDgyRE/IxQTM3ODg1NEM3Q0E5QTlGMkUyOTE1QjdDODI3NEFEOUFGQTkzMjgucG5n.png"
"Lidl","Favorina Kalėdinis šokoladų rinkinys maišelyje","2.59","https://imgproxy-retcat.assets.schwarz/A8jlSfiiL3LgUq0YwhqElcsND5pVa0P953fU8Sh8xQA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzQ2MDE2NTQwMkJCQzI4QUUxODFBRTU0Mk/IyQzM2Q0JFNjMzMjBENjIwRDFFRjlBQ0VCOTgwQkJCMzBCNzc0QkQucG5n.png"
