shop_name,title,price,image_small
Maxima,"Kosmetiniai vatos diskeliai DIVUS, 120 vnt., 120 vnt.",1.15,https://cdn.barbora.lt/products/6b329bbf-bb5a-490c-9db8-e3f807bf8c71_s.png
Maxima,"Gl. VILKYŠKIŲ sūrelis LESS SUGAR, vanilės skonio, 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/fb399119-eb2a-4b18-abd2-61f7f1ef7d2c_s.png
Maxima,"Kepimo popierius UNIWELL, 30 lapų, 30 vnt.",1.79,https://cdn.barbora.lt/products/842ffe80-530b-488c-8c82-3879db71c9a5_s.png
Maxima,"Kukurūzų trapučiai SAULĖS GRŪDAS, 120 g",0.57,https://cdn.barbora.lt/products/9d21e1cd-b628-4f62-9407-0b7053627a68_s.png
Maxima,"Glaist. VILKYŠKIŲ varškės sūrelis su žemuogėmis, 23 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/4baa6627-5a1c-4f16-9e9d-4964de4ca84e_s.png
Maxima,"Vytinta ispaniška dešra FUETEC su pelėsiu, I r., 170 g",3.59,https://cdn.barbora.lt/products/cb056372-e523-474c-9e4f-adfb055b9549_s.png
Maxima,"Kvapnūs šiukšlių maišai HOME EXPERT, 60 l, 10 vnt, 10 vnt.",1.19,https://cdn.barbora.lt/products/1dbada04-b3e1-4baa-81c0-3279e9122b4f_s.png
Maxima,"Kvietiniai KAUNO GRŪDŲ miltai EKSTRA, 405 D, 1.75 kg",1.39,https://cdn.barbora.lt/products/98b79f7d-0f07-4912-8cfa-5e8032dedf56_s.png
Maxima,"RAMBYNO tepamasis sūrelis MILDUTĖ, 50 % rieb. s. m., 175 g",1.99,https://cdn.barbora.lt/products/0261b803-eaf4-48ed-b47d-32aa3ca9a0b0_s.png
Maxima,"Glaistytas VILKYŠKIŲ varškės sūrelis LESS SUGAR, braškių sk., 30 %, 40 g",0.65,https://cdn.barbora.lt/products/29de5110-52c6-4704-a010-645712b94fc1_s.png
Maxima,"Sausainiai MILKA CHOCO MINI STARS, 150 g",1.65,https://cdn.barbora.lt/products/219f4dd7-df92-4f80-b50c-d90f8e044918_s.png
Maxima,"Minkšti kūčiukai VILNIAUS DUONA, 200 g",1.19,https://cdn.barbora.lt/products/1bfdc7f6-766e-4aba-a331-64d7ce300194_s.png
Maxima,"Konservuoti žalieji žirneliai BONDUELLE, 400 g",1.01,https://cdn.barbora.lt/products/cd0e2e68-66df-4196-a86e-4310a368b9b3_s.png
Maxima,"Glaistytas VILKYŠKIŲ vanilės sk. varškės sūrelis, 24 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/b369bb15-bef7-41c0-95ea-1aae690fa3ee_s.png
Maxima,"Gazuotas apelsinų, granatų sulčių gėrimas SANPELLEGRINO, 330 ml",0.77,https://cdn.barbora.lt/products/7fa553d6-d6db-44a4-b4e1-50d8cb136148_s.png
Maxima,"	VILKYŠKIŲ glaistytas sūrelis MURR, braškinės panakotos sk., 29 %, 40 g",0.59,https://cdn.barbora.lt/products/aa6c1851-b199-4547-bbb8-6331ab674a32_s.png
Maxima,"Juoda raikyta duona BEATOS VIRTUVĖ su sėklomis, 300 g",1.59,https://cdn.barbora.lt/products/41697d12-d04a-447a-9719-b3b628681624_s.png
Maxima,"Šokoladinis batonėlis MANIJA su lazdynų riešutais, 49 g",0.89,https://cdn.barbora.lt/products/0bfbfc8a-7f0b-47bd-9987-b27f1dc43aa3_s.png
Maxima,"Konservuoti kukurūzai BONDUELLE KIDS, 170 g",0.95,https://cdn.barbora.lt/products/a0d03fc2-1139-43cd-9b5e-2439c62eb445_s.png
Maxima,"Tepamasis sūris WELL DONE su žolelėmis, 57,5 %, 200 g, 200 g",1.49,https://cdn.barbora.lt/products/fe9b32e6-09a0-4931-8e6e-9f44b74004f3_s.png
Maxima,"K. rūkytos dešrelės TARCZYNSKI KABANOSI su vištiena, II r., 105 g",1.49,https://cdn.barbora.lt/products/4a03ae72-fffd-47e4-9c95-f864eea3753c_s.png
Maxima,"Natūralus gazuotas mineralinis vanduo SAN PELLEGRINO, 1 l",1.07,https://cdn.barbora.lt/products/8c3f469c-33f8-4940-958d-fb0acc5a0df7_s.png
Maxima,"Šiukšlių maišai HOME EXPERT, 60 l, 25 vnt.",0.79,https://cdn.barbora.lt/products/6be74e63-530e-49f0-99e1-8e9ee7d73ce8_s.png
Maxima,"Cukraus milteliai DANSUKKER, 500 g",0.99,https://cdn.barbora.lt/products/7b8ec5bd-e5a9-4dca-bc69-1b806fff1048_s.png
Maxima,"Ausų krapštukai KOSMELUX, 200 vnt., 200 vnt.",0.85,https://cdn.barbora.lt/products/eadf2721-e0b8-4e75-9317-84f4386b871b_s.png
Maxima,"Takų prieskonių mišinys SANTA MARIA TEX MEX, 28 g",0.64,https://cdn.barbora.lt/products/4b66e411-088c-4171-9260-a60b35357a8e_s.png
Maxima,"Varškės sūrelis LESS SUGAR, karameliz. bananų sk., 30% rieb., 40 g",0.65,https://cdn.barbora.lt/products/f9327da1-5c66-4266-a07f-f7e9215c45ed_s.png
Maxima,"Šaldytas meksikietiškas daržovių mišinys HORTEX MEXICO MIX, 400 g",1.27,https://cdn.barbora.lt/products/22bfe347-9d62-4ce9-8f19-390fa65be6ec_s.png
Maxima,"Sūrio kamuoliukai su trumais WELL DONE PREMIUM, 40 % rieb., 24 g",1.49,https://cdn.barbora.lt/products/486dde38-6519-4d0d-b218-e4dc2d3871a2_s.png
Maxima,"Minkšti kūčiukai JDC, 200 g",1.29,https://cdn.barbora.lt/products/3715b007-1225-468a-89d2-0c9f0d8f6fd0_s.png
Maxima,"Persiladas SANTA MARIA, 35 g",0.49,https://cdn.barbora.lt/products/637d4377-bda3-413b-aa7d-5533fc0f7a42_s.png
Maxima,"Fasavimo maišeliai, 100 vnt., 1 vnt.",1.49,https://cdn.barbora.lt/products/fb2bbd12-6af6-48c9-9d5a-ccab6202dc92_s.png
Maxima,"Užrišami šiukšlių maišai, 60 l, 10 vnt. HOME EXPERT",1.79,https://cdn.barbora.lt/products/42c3553a-283b-4467-bbf7-30a9f41fff64_s.png
Maxima,"Šviežias viščiukas broileris be antibiotikų WELL DONE, 1 kg",3.99,https://cdn.barbora.lt/products/42e7072e-6f42-4c9e-bcb3-b29a22d52ac4_s.png
