product_name,shelf_price,per_unit_price,image_url
Pusilgiai agurkai Rimi 400g,1.99,4.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_996395_PCE_LT"
"Šaldytos vyšnios be kauliukų RIMI, 400 g",2.99,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811669_PCE_LT"
"VILKYŠKIŲ kefyras, 2,5 % rieb., 1 kg",1.49,1.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_297351_PCE_LT"
"Greitai užšaldyti brokoliai RIMI, 400 g",1.89,4.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808638_PCE_LT"
"Šaldytos braškės RIMI, 400 g",1.79,4.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811670_PCE_LT"
"Kvietinės tortilijos RIMI PLANET, 370 g",1.49,4.03,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808707_PCE_LT"
"Greitai užšaldytos šilauogės RIMI, 400 g",3.99,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811169_PCE_LT"
"Fas. obuoliai GALA MUST,1 kl.,1kg",1.19,1.19,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_219161_KGM_LT"
"Sūris salotoms RIMI, 40% rieb., 200g",1.49,7.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808783_PCE_LT"
"Sluoksn. sapel. bemielė tešla MANTINGA, 500 g",2.29,4.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_277284_PCE_LT"
Kalakutų šlaunelė be kaulo ir odos,7.29,7.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_809474_KGM_LT"
"Meksikietiškos tortilijos TEX MEX, 371g",3.59,9.68,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_140580_PCE_LT"
"Šald. smulkinti špinatai porcijomis RIMI,400g",2.99,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_801484_PCE_LT"
"Šaldyti koldūnai su mėsa VIČI KHINKALI, 400 g",4.19,10.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_920467_PCE_LT"
"ROKIŠKIO NAMINIS sviestas, 82 % rieb., 180 g",2.69,14.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_261209_PCE_LT"
"Kiet. sūris DŽIUGAS, 40% rieb., 100g (tark.)",1.75,17.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_216768_PCE_LT"
"Varškės sūrelis su vanile KARUMS, 45 g",0.65,14.44,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_269082_PCE_LT"
"Greitai užšald. žiediniai kopūstai RIMI, 400g",1.29,3.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808622_PCE_LT"
"Tuno gabaliukai savo sultyse RIMI MSC, 185g",1.89,14.54,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_803886_PCE_LT"
"Šald. gruzd. saldžiosios bulvytės RIMI, 450 g",3.39,7.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_813773_PCE_LT"
"Nat.negaz. mineralinis vanduo RASA LIGHT, 5l",1.99,0.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_179322_PCE_LT"
"Greitai užšaldyti mangai RIMI, 400 g",2.79,6.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808687_PCE_LT"
"Tep. varšk. sūris PHILADELPHIA Orig., 200g",2.99,14.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_212051_PCE_LT"
"Mini tortilijos SANTA MARIA ORIGINAL, 200g",2.49,12.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_192776_PCE_LT"
"Kepti KIJEVO kotletai DONE COOKIN, 290 g",6.19,21.34,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_280740_PCE_LT"
"Fetos sūris OLYMPUS, 43 % rieb., 150 g",3.29,21.93,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_294376_PCE_LT"
"Šald. pranc. batonai česn. įd. MANTINGA, 350g",2.15,6.14,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_276507_PCE_LT"
"Viso grūdo tamsi AGOTOS duona su raugu, 300 g",0.95,3.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_4002308_PCE_LT"
"Šaldytos bulvytės FARM FRITES, 600 g",3.19,5.32,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_298205_PCE_LT"
"Šiukšlių maišai PACLAN Eco, 60l, 15vnt",3.59,0.24,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7046692_PCE_LT"
